I II III aVR aVL aVF V1 V2 AO SPO2 
-0.042 -0.115 -0.054 0.068 0.017 -0.093 0.010 0.049 69.400 3.087 
-0.061 -0.122 -0.044 0.083 -0.000 -0.090 0.024 0.059 69.000 3.116 
-0.054 -0.151 -0.078 0.093 0.022 -0.125 0.059 0.066 68.600 3.145 
-0.029 -0.073 -0.022 0.042 0.007 -0.059 -0.015 0.032 68.600 3.170 
-0.034 -0.110 -0.059 0.063 0.022 -0.093 0.010 0.046 68.400 3.194 
-0.039 -0.115 -0.056 0.068 0.020 -0.095 0.012 0.049 68.400 3.219 
-0.020 -0.129 -0.090 0.066 0.046 -0.120 -0.007 0.046 68.400 3.243 
-0.017 -0.144 -0.100 0.068 0.056 -0.134 -0.015 0.051 68.200 3.253 
-0.020 -0.178 -0.139 0.090 0.071 -0.168 -0.010 0.063 68.200 3.263 
0.007 -0.239 -0.230 0.107 0.127 -0.242 0.005 0.076 68.000 3.272 
0.024 -0.332 -0.332 0.142 0.190 -0.344 0.020 0.100 68.000 3.282 
0.024 -0.403 -0.403 0.178 0.227 -0.415 0.051 0.125 68.000 3.287 
0.027 -0.442 -0.442 0.195 0.249 -0.454 0.068 0.137 67.800 3.292 
0.042 -0.466 -0.488 0.203 0.276 -0.486 0.081 0.139 67.400 3.297 
0.056 -0.476 -0.510 0.200 0.295 -0.503 0.076 0.137 67.200 3.302 
0.056 -0.501 -0.537 0.212 0.308 -0.527 0.051 0.147 67.000 3.297 
0.105 -0.525 -0.606 0.198 0.369 -0.576 0.046 0.137 66.800 3.292 
0.132 -0.559 -0.669 0.203 0.413 -0.625 0.034 0.139 66.600 3.287 
0.161 -0.620 -0.762 0.220 0.471 -0.701 0.046 0.151 66.400 3.282 
0.205 -0.664 -0.835 0.212 0.537 -0.767 0.046 0.151 66.000 3.277 
0.247 -0.720 -0.940 0.225 0.608 -0.842 0.073 0.156 65.600 3.272 
0.254 -0.803 -1.028 0.261 0.657 -0.930 0.127 0.181 65.400 3.267 
0.278 -0.874 -1.128 0.286 0.716 -1.013 0.164 0.195 65.200 3.263 
0.261 -0.896 -1.133 0.305 0.711 -1.026 0.217 0.210 65.000 3.253 
0.242 -0.860 -1.072 0.295 0.672 -0.979 0.205 0.203 64.800 3.243 
0.193 -0.801 -0.965 0.291 0.593 -0.896 0.085 0.200 64.600 3.233 
0.132 -0.816 -0.921 0.330 0.540 -0.882 0.002 0.225 64.400 3.223 
0.081 -0.908 -0.960 0.400 0.535 -0.947 0.017 0.274 64.200 3.219 
0.098 -0.945 -1.011 0.408 0.571 -0.994 -0.085 0.281 64.200 3.214 
0.137 -0.935 -1.048 0.388 0.606 -1.004 -0.239 0.264 64.200 3.209 
0.144 -0.928 -1.045 0.379 0.608 -0.999 -0.335 0.259 64.000 3.204 
0.166 -0.874 -1.011 0.339 0.603 -0.957 -0.447 0.234 64.000 3.199 
0.215 -0.789 -0.977 0.274 0.611 -0.896 -0.510 0.188 63.800 3.194 
0.210 -0.698 -0.886 0.234 0.559 -0.803 -0.459 0.161 63.800 3.189 
0.203 -0.584 -0.764 0.181 0.496 -0.684 -0.405 0.125 63.600 3.184 
0.161 -0.491 -0.628 0.154 0.408 -0.571 -0.352 0.107 63.400 3.175 
0.139 -0.379 -0.488 0.105 0.330 -0.447 -0.298 0.078 63.200 3.165 
0.115 -0.327 -0.415 0.093 0.278 -0.383 -0.247 0.068 63.000 3.155 
0.093 -0.305 -0.371 0.093 0.247 -0.352 -0.227 0.068 62.600 3.145 
0.078 -0.283 -0.335 0.090 0.220 -0.322 -0.200 0.066 62.400 3.140 
0.056 -0.261 -0.295 0.093 0.188 -0.288 -0.161 0.066 62.000 3.136 
0.042 -0.234 -0.252 0.085 0.159 -0.254 -0.115 0.061 61.800 3.131 
0.029 -0.200 -0.205 0.073 0.129 -0.215 -0.098 0.054 61.600 3.126 
0.015 -0.178 -0.171 0.071 0.105 -0.186 -0.081 0.051 61.400 3.121 
0.005 -0.144 -0.129 0.061 0.078 -0.147 -0.081 0.044 61.200 3.116 
-0.002 -0.095 -0.081 0.044 0.046 -0.093 -0.076 0.029 61.000 3.111 
0.005 -0.073 -0.056 0.024 0.042 -0.076 -0.068 0.020 60.800 3.106 
0.007 -0.051 -0.034 0.010 0.034 -0.054 -0.056 0.012 60.600 3.096 
-0.012 -0.024 0.007 0.010 -0.000 -0.017 -0.042 0.010 60.600 3.087 
-0.027 -0.020 0.027 0.015 -0.017 -0.005 -0.017 0.012 60.600 3.077 
-0.034 -0.022 0.032 0.020 -0.022 -0.005 -0.000 0.017 60.600 3.067 
-0.049 -0.039 0.032 0.034 -0.029 -0.015 0.007 0.027 60.600 3.053 
-0.042 -0.020 0.042 0.022 -0.032 0.002 -0.005 0.017 60.600 3.038 
-0.034 -0.007 0.049 0.010 -0.029 0.010 -0.007 0.012 60.800 3.023 
-0.042 -0.005 0.056 0.015 -0.039 0.017 -0.010 0.012 61.000 3.009 
-0.034 -0.005 0.044 0.012 -0.032 0.012 -0.005 0.010 61.800 2.999 
-0.034 -0.010 0.044 0.012 -0.029 0.007 0.002 0.012 62.400 2.989 
-0.027 -0.012 0.032 0.012 -0.020 0.002 -0.005 0.010 63.800 2.979 
-0.037 -0.010 0.046 0.015 -0.032 0.010 -0.007 0.012 65.200 2.969 
-0.061 -0.012 0.066 0.029 -0.054 0.020 0.007 0.022 67.200 2.955 
-0.049 0.005 0.068 0.015 -0.051 0.029 0.002 0.012 69.200 2.940 
-0.039 0.015 0.068 0.005 -0.046 0.034 0.002 0.005 71.400 2.926 
-0.042 0.012 0.068 0.007 -0.046 0.034 0.010 0.007 73.600 2.911 
-0.037 0.005 0.059 0.007 -0.039 0.024 0.007 0.007 76.000 2.891 
-0.037 0.005 0.056 0.010 -0.039 0.024 0.012 0.007 78.200 2.872 
-0.051 0.010 0.073 0.015 -0.056 0.037 0.027 0.012 80.400 2.852 
-0.049 0.020 0.078 0.010 -0.059 0.044 0.017 0.007 82.800 2.833 
-0.049 0.022 0.083 0.007 -0.059 0.046 0.020 0.007 84.800 2.808 
-0.046 0.032 0.095 -0.000 -0.061 0.056 0.027 0.002 86.800 2.784 
-0.049 0.037 0.098 -0.000 -0.066 0.061 0.042 0.002 88.600 2.759 
-0.068 0.037 0.112 0.012 -0.085 0.071 0.044 0.007 90.400 2.735 
-0.068 0.034 0.120 0.010 -0.085 0.068 0.059 0.010 92.000 2.716 
-0.063 0.051 0.132 -0.002 -0.088 0.083 0.063 0.002 93.400 2.696 
-0.063 0.061 0.139 -0.005 -0.093 0.093 0.076 -0.002 94.600 2.676 
-0.066 0.066 0.151 -0.010 -0.098 0.100 0.088 -0.002 95.600 2.657 
-0.085 0.063 0.171 -0.000 -0.117 0.107 0.110 0.005 96.400 2.637 
-0.078 0.059 0.164 -0.002 -0.107 0.098 0.122 0.005 97.400 2.618 
-0.083 0.061 0.161 0.002 -0.112 0.103 0.137 0.005 97.800 2.598 
-0.085 0.059 0.164 0.005 -0.115 0.103 0.151 0.007 98.400 2.579 
-0.098 0.066 0.186 0.005 -0.129 0.115 0.173 0.007 98.800 2.564 
-0.093 0.071 0.183 0.002 -0.127 0.117 0.188 0.005 99.200 2.549 
-0.110 0.078 0.205 0.007 -0.149 0.134 0.208 0.007 99.600 2.535 
-0.115 0.068 0.203 0.015 -0.149 0.127 0.220 0.012 99.800 2.520 
-0.107 0.078 0.205 0.005 -0.147 0.132 0.237 0.007 100.200 2.501 
-0.122 0.076 0.220 0.012 -0.159 0.137 0.249 0.012 100.800 2.481 
-0.132 0.073 0.220 0.022 -0.168 0.139 0.256 0.017 101.200 2.462 
-0.139 0.066 0.230 0.024 -0.171 0.137 0.269 0.022 101.800 2.442 
