I II III aVR aVL aVF V1 AO SPO2
0.027 0.125 0.112 -0.083 -0.034 0.112 -0.049 118.800 2.237 
0.037 0.112 0.095 -0.083 -0.020 0.095 -0.049 117.800 2.227 
0.015 0.110 0.107 -0.068 -0.039 0.103 -0.039 116.400 2.217 
0.020 0.107 0.103 -0.071 -0.034 0.098 -0.034 115.000 2.208 
0.034 0.103 0.088 -0.078 -0.017 0.085 -0.042 113.400 2.198 
0.049 0.103 0.073 -0.085 -0.002 0.078 -0.042 111.800 2.188 
0.034 0.120 0.100 -0.083 -0.024 0.103 -0.039 110.000 2.178 
0.012 0.120 0.117 -0.071 -0.046 0.115 -0.034 108.000 2.168 
0.022 0.122 0.112 -0.078 -0.039 0.112 -0.054 106.200 2.164 
0.046 0.144 0.117 -0.105 -0.024 0.122 -0.049 104.400 2.159 
0.034 0.129 0.115 -0.090 -0.029 0.112 -0.044 102.800 2.154 
0.027 0.107 0.090 -0.071 -0.027 0.095 -0.034 101.200 2.149 
0.029 0.090 0.081 -0.068 -0.015 0.076 -0.044 100.400 2.144 
0.037 0.105 0.083 -0.078 -0.015 0.088 -0.034 99.600 2.139 
0.027 0.098 0.088 -0.071 -0.022 0.085 -0.032 99.200 2.134 
0.020 0.103 0.103 -0.071 -0.032 0.093 -0.042 98.800 2.129 
0.034 0.112 0.100 -0.083 -0.022 0.095 -0.054 98.600 2.125 
0.022 0.127 0.122 -0.083 -0.042 0.117 -0.049 98.200 2.120 
0.027 0.127 0.115 -0.083 -0.037 0.115 -0.054 98.000 2.115 
0.037 0.105 0.083 -0.078 -0.015 0.088 -0.044 97.600 2.110 
0.017 0.095 0.095 -0.063 -0.029 0.088 -0.034 97.400 2.100 
0.044 0.127 0.105 -0.095 -0.020 0.105 -0.042 97.000 2.090 
0.051 0.137 0.100 -0.100 -0.017 0.112 -0.049 96.600 2.081 
0.042 0.144 0.117 -0.100 -0.029 0.125 -0.044 96.200 2.071 
0.056 0.171 0.132 -0.122 -0.029 0.144 -0.049 95.800 2.061 
0.061 0.190 0.144 -0.132 -0.034 0.161 -0.056 95.400 2.051 
0.056 0.203 0.164 -0.137 -0.044 0.176 -0.056 95.000 2.042 
0.063 0.212 0.164 -0.144 -0.042 0.181 -0.066 94.400 2.032 
0.078 0.205 0.139 -0.147 -0.024 0.166 -0.068 94.000 2.017 
0.078 0.198 0.134 -0.144 -0.020 0.159 -0.078 93.400 2.002 
0.115 0.208 0.110 -0.168 0.012 0.151 -0.107 93.000 1.988 
0.112 0.239 0.139 -0.181 -0.007 0.183 -0.134 92.400 1.973 
0.117 0.239 0.129 -0.181 -0.002 0.181 -0.147 92.000 1.968 
0.110 0.244 0.144 -0.181 -0.012 0.190 -0.147 91.400 1.963 
0.107 0.247 0.154 -0.183 -0.015 0.193 -0.147 90.800 1.958 
0.120 0.242 0.129 -0.183 -0.000 0.183 -0.151 90.200 1.954 
0.120 0.220 0.115 -0.176 0.010 0.161 -0.132 89.400 1.963 
0.090 0.200 0.129 -0.154 -0.010 0.156 -0.112 88.800 1.973 
0.115 0.210 0.100 -0.164 0.010 0.154 -0.120 88.000 1.983 
0.095 0.210 0.129 -0.159 -0.010 0.164 -0.100 87.400 1.993 
0.103 0.210 0.120 -0.161 -0.002 0.159 -0.098 87.000 2.027 
0.046 0.166 0.132 -0.112 -0.037 0.144 -0.071 86.400 2.061 
0.029 0.125 0.107 -0.083 -0.032 0.110 -0.046 86.200 2.095 
0.027 0.120 0.103 -0.078 -0.032 0.107 -0.049 85.800 2.129 
0.039 0.120 0.090 -0.083 -0.020 0.100 -0.039 85.600 2.183 
0.044 0.093 0.056 -0.071 -0.002 0.071 -0.024 85.400 2.237 
0.034 0.049 0.029 -0.049 0.010 0.032 -0.005 85.200 2.291 
0.012 0.054 0.051 -0.037 -0.015 0.049 -0.012 85.000 2.344 
0.005 0.051 0.054 -0.032 -0.020 0.049 -0.005 84.800 2.408 
0.010 0.046 0.039 -0.029 -0.012 0.042 -0.007 84.600 2.471 
0.007 0.029 0.037 -0.024 -0.007 0.027 -0.000 84.400 2.535 
0.017 0.044 0.032 -0.032 -0.005 0.037 -0.000 84.000 2.598 
0.010 0.034 0.037 -0.027 -0.007 0.029 -0.005 83.800 2.662 
0.020 0.034 0.022 -0.029 0.002 0.024 -0.007 83.400 2.725 
0.017 0.032 0.022 -0.027 0.002 0.024 -0.007 83.000 2.789 
0.010 0.039 0.034 -0.027 -0.010 0.034 -0.010 82.800 2.852 
-0.012 0.039 0.061 -0.017 -0.032 0.046 0.002 82.400 2.906 
-0.007 0.022 0.039 -0.012 -0.017 0.027 0.024 82.000 2.960 
0.051 0.066 0.022 -0.061 0.020 0.042 0.005 81.800 3.013 
0.071 0.105 0.044 -0.093 0.020 0.071 -0.022 81.400 3.067 
0.081 0.107 0.034 -0.098 0.027 0.068 -0.037 81.200 3.101 
0.066 0.142 0.071 -0.100 -0.005 0.110 -0.068 81.000 3.136 
0.078 0.168 0.098 -0.127 -0.005 0.129 -0.132 81.000 3.170 
0.156 0.337 0.188 -0.249 -0.012 0.259 -0.298 80.800 3.204 
0.205 0.469 0.269 -0.339 -0.029 0.366 -0.444 80.600 3.223 
0.310 0.552 0.254 -0.437 0.034 0.398 -0.559 80.600 3.243 
0.371 0.547 0.195 -0.469 0.098 0.361 -0.591 80.400 3.263 
0.359 0.513 0.156 -0.437 0.103 0.335 -0.567 80.200 3.282 
0.337 0.457 0.127 -0.400 0.110 0.288 -0.508 80.000 3.292 
0.359 0.330 -0.024 -0.347 0.195 0.151 -0.432 79.800 3.302 
0.247 0.193 -0.044 -0.225 0.151 0.071 -0.288 79.600 3.311 
0.166 0.127 -0.037 -0.147 0.103 0.044 -0.200 79.400 3.321 
0.107 0.117 0.015 -0.115 0.049 0.063 -0.147 79.200 3.316 
0.059 0.042 -0.005 -0.056 0.039 0.012 -0.078 79.000 3.311 
0.017 -0.027 -0.029 -0.002 0.032 -0.034 -0.000 78.800 3.306 
-0.039 -0.056 -0.017 0.049 -0.010 -0.037 0.049 78.400 3.302 
-0.034 -0.046 -0.007 0.039 -0.010 -0.029 0.054 78.200 3.292 
-0.037 -0.037 0.005 0.034 -0.017 -0.017 0.054 77.800 3.282 
-0.029 -0.032 0.002 0.029 -0.012 -0.017 0.042 77.600 3.272 
-0.032 -0.032 0.005 0.029 -0.015 -0.015 0.049 77.200 3.263 
-0.044 -0.034 0.015 0.037 -0.027 -0.012 0.046 76.800 3.253 
-0.027 -0.022 0.020 0.017 -0.015 -0.007 0.039 76.600 3.243 
-0.039 -0.017 0.032 0.024 -0.029 0.002 0.044 76.200 3.233 
-0.027 -0.020 0.015 0.020 -0.017 -0.005 0.044 76.000 3.223 
-0.037 -0.024 0.022 0.027 -0.024 -0.005 0.044 75.600 3.184 
-0.034 -0.027 0.022 0.024 -0.020 -0.010 0.032 75.400 3.145 
-0.024 -0.012 0.024 0.012 -0.017 -0.000 0.042 75.000 3.106 
-0.027 -0.020 0.012 0.022 -0.017 -0.005 0.039 74.800 3.067 
-0.024 -0.022 0.017 0.017 -0.012 -0.010 0.039 74.600 3.043 
-0.029 -0.015 0.029 0.015 -0.022 -0.000 0.037 74.400 3.018 
-0.032 -0.010 0.039 0.012 -0.027 0.007 0.039 74.200 2.994 
-0.024 -0.007 0.032 0.010 -0.020 0.005 0.039 73.800 2.969 
-0.029 -0.017 0.024 0.017 -0.020 -0.002 0.037 73.600 2.945 
-0.022 -0.017 0.020 0.012 -0.012 -0.005 0.032 73.400 2.921 
-0.024 -0.010 0.024 0.012 -0.020 0.002 0.039 73.200 2.896 
-0.029 -0.010 0.024 0.017 -0.024 0.005 0.034 73.000 2.872 
-0.029 -0.007 0.032 0.015 -0.024 0.007 0.029 72.800 2.852 
-0.024 -0.017 0.024 0.012 -0.015 -0.005 0.034 72.600 2.833 
-0.020 -0.017 0.012 0.015 -0.010 -0.007 0.032 72.600 2.813 
-0.037 -0.032 0.017 0.029 -0.020 -0.012 0.032 72.600 2.794 
-0.034 -0.020 0.020 0.024 -0.024 -0.002 0.032 72.800 2.779 
-0.024 -0.027 0.012 0.020 -0.010 -0.015 0.034 73.000 2.764 
-0.029 -0.029 0.010 0.024 -0.015 -0.015 0.042 73.600 2.750 
-0.027 -0.037 0.002 0.027 -0.007 -0.022 0.037 74.200 2.735 
-0.032 -0.044 -0.005 0.034 -0.010 -0.027 0.042 75.600 2.730 
-0.027 -0.044 -0.005 0.029 -0.005 -0.029 0.039 76.800 2.725 
-0.027 -0.042 -0.010 0.032 -0.005 -0.027 0.039 78.800 2.720 
-0.037 -0.042 0.002 0.037 -0.015 -0.022 0.051 80.600 2.716 
-0.034 -0.049 -0.007 0.039 -0.010 -0.032 0.049 83.000 2.711 
-0.034 -0.051 -0.002 0.037 -0.007 -0.034 0.059 85.600 2.706 
-0.039 -0.046 0.002 0.039 -0.015 -0.027 0.059 88.000 2.701 
-0.051 -0.049 0.010 0.046 -0.027 -0.022 0.056 90.600 2.696 
-0.046 -0.054 0.010 0.042 -0.020 -0.029 0.056 92.800 2.696 
-0.049 -0.046 0.012 0.044 -0.024 -0.022 0.063 95.200 2.696 
-0.054 -0.056 0.007 0.051 -0.024 -0.029 0.063 97.000 2.696 
-0.068 -0.071 0.005 0.066 -0.032 -0.037 0.066 98.800 2.696 
-0.085 -0.076 0.017 0.078 -0.046 -0.032 0.071 100.200 2.696 
-0.078 -0.063 0.022 0.068 -0.046 -0.024 0.073 101.800 2.696 
-0.076 -0.076 0.015 0.068 -0.037 -0.037 0.076 103.000 2.696 
-0.103 -0.085 0.027 0.090 -0.059 -0.034 0.090 104.400 2.696 
-0.100 -0.083 0.027 0.088 -0.059 -0.032 0.098 105.400 2.691 
-0.107 -0.085 0.029 0.093 -0.063 -0.032 0.098 106.600 2.686 
-0.112 -0.088 0.037 0.095 -0.068 -0.032 0.100 107.600 2.681 
-0.112 -0.085 0.039 0.093 -0.068 -0.029 0.110 108.600 2.676 
-0.120 -0.090 0.039 0.100 -0.073 -0.029 0.110 109.400 2.676 
-0.122 -0.085 0.046 0.100 -0.078 -0.024 0.115 110.400 2.676 
-0.127 -0.081 0.051 0.103 -0.085 -0.017 0.105 111.200 2.676 
-0.129 -0.088 0.051 0.105 -0.085 -0.022 0.107 112.000 2.676 
-0.127 -0.081 0.049 0.103 -0.085 -0.017 0.093 112.800 2.672 
-0.117 -0.081 0.042 0.098 -0.076 -0.022 0.098 113.400 2.667 
-0.110 -0.081 0.037 0.093 -0.068 -0.024 0.098 114.000 2.662 
-0.110 -0.081 0.029 0.095 -0.068 -0.024 0.088 114.800 2.657 
-0.098 -0.073 0.034 0.081 -0.061 -0.024 0.083 115.200 2.662 
-0.085 -0.061 0.034 0.068 -0.054 -0.017 0.071 115.800 2.667 
-0.068 -0.044 0.029 0.054 -0.046 -0.010 0.054 116.400 2.672 
-0.063 -0.044 0.024 0.051 -0.042 -0.012 0.049 116.800 2.676 
-0.059 -0.037 0.032 0.044 -0.039 -0.007 0.037 117.200 2.676 
-0.046 -0.027 0.027 0.034 -0.032 -0.002 0.024 117.600 2.676 
-0.034 -0.024 0.020 0.024 -0.022 -0.007 0.024 118.000 2.676 
-0.029 -0.022 0.007 0.027 -0.017 -0.007 0.012 118.200 2.676 
-0.020 -0.012 0.012 0.015 -0.012 -0.002 0.010 118.400 2.676 
-0.010 -0.007 0.012 0.005 -0.005 -0.002 0.010 118.400 2.676 
-0.012 -0.015 0.005 0.010 -0.005 -0.007 0.007 118.400 2.676 
-0.000 -0.007 -0.000 -0.000 0.005 -0.007 -0.002 118.200 2.676 
0.002 -0.007 -0.002 -0.000 0.007 -0.007 -0.007 118.000 2.676 
0.007 -0.005 -0.010 -0.002 0.010 -0.007 -0.007 117.800 2.676 
0.012 0.005 -0.007 -0.007 0.010 -0.000 -0.007 117.200 2.676 
0.010 -0.007 -0.010 -0.005 0.015 -0.012 -0.010 116.600 2.676 
0.012 0.005 -0.005 -0.010 0.010 -0.000 -0.010 115.800 2.676 
0.017 0.002 -0.012 -0.010 0.017 -0.005 -0.015 115.000 2.676 
0.027 -0.000 -0.022 -0.015 0.027 -0.012 -0.020 114.000 2.676 
0.022 -0.002 -0.020 -0.012 0.024 -0.012 -0.012 112.800 2.676 
0.015 0.002 -0.012 -0.007 0.015 -0.005 -0.012 111.400 2.676 
0.017 0.002 -0.007 -0.012 0.017 -0.005 -0.012 110.000 2.676 
0.010 -0.000 -0.007 -0.005 0.010 -0.005 -0.005 108.400 2.676 
0.007 -0.000 -0.000 -0.007 0.007 -0.002 -0.005 106.800 2.676 
0.015 0.005 -0.002 -0.012 0.012 -0.002 -0.012 105.200 2.676 
0.020 0.002 -0.007 -0.015 0.020 -0.007 -0.012 103.600 2.676 
0.022 -0.000 -0.010 -0.017 0.022 -0.010 -0.015 102.200 2.676 
0.024 0.010 -0.010 -0.020 0.020 -0.002 -0.020 101.000 2.676 
0.012 0.005 0.005 -0.015 0.010 -0.000 -0.015 100.000 2.676 
0.010 0.017 0.012 -0.015 0.002 0.012 -0.020 99.200 2.676 
0.015 0.017 0.015 -0.022 0.007 0.010 -0.017 98.800 2.676 
0.012 0.012 0.005 -0.015 0.007 0.007 -0.015 98.200 2.676 
0.022 0.010 -0.010 -0.017 0.017 -0.000 -0.017 98.000 2.676 
0.012 0.002 -0.005 -0.010 0.012 -0.002 -0.015 97.800 2.676 
0.017 0.012 0.002 -0.017 0.012 0.005 -0.017 97.600 2.676 
0.007 0.010 0.002 -0.007 0.002 0.007 -0.012 97.400 2.676 
0.015 0.015 0.007 -0.017 0.007 0.007 -0.015 97.200 2.676 
0.022 0.017 -0.005 -0.020 0.015 0.007 -0.020 96.800 2.676 
0.024 0.022 0.002 -0.024 0.015 0.010 -0.024 96.600 2.676 
0.029 0.037 0.017 -0.037 0.012 0.022 -0.029 96.200 2.676 
0.029 0.051 0.022 -0.039 0.005 0.037 -0.027 95.800 2.667 
0.042 0.054 0.024 -0.054 0.015 0.034 -0.027 95.200 2.657 
0.032 0.056 0.032 -0.046 0.005 0.042 -0.027 94.800 2.647 
0.042 0.078 0.042 -0.061 0.002 0.059 -0.029 94.200 2.637 
0.039 0.083 0.046 -0.061 -0.002 0.063 -0.037 93.800 2.618 
0.049 0.098 0.051 -0.073 -0.000 0.073 -0.042 93.200 2.598 
0.068 0.112 0.049 -0.093 0.012 0.078 -0.061 92.600 2.579 
0.076 0.127 0.054 -0.103 0.012 0.090 -0.076 92.200 2.559 
0.085 0.147 0.061 -0.115 0.012 0.105 -0.100 91.800 2.530 
0.085 0.161 0.073 -0.122 0.005 0.120 -0.122 91.200 2.501 
0.093 0.147 0.054 -0.120 0.020 0.100 -0.125 90.800 2.471 
0.093 0.134 0.039 -0.112 0.027 0.088 -0.125 90.200 2.442 
