I II III aVR aVL aVF V1 LV AO Resp SPO2
-0.039 -0.029 0.005 0.037 -0.024 -0.010 0.005 10.400 78.800 0.088 2.383 
-0.029 -0.046 -0.017 0.039 -0.005 -0.032 0.005 10.400 78.400 0.088 2.359 
-0.049 -0.056 -0.012 0.056 -0.020 -0.032 0.010 10.400 78.200 0.085 2.335 
-0.056 -0.056 -0.002 0.059 -0.027 -0.027 0.005 10.600 77.800 0.085 2.310 
-0.037 -0.049 -0.012 0.044 -0.012 -0.029 -0.002 10.600 77.600 0.083 2.286 
-0.037 -0.029 0.007 0.034 -0.022 -0.010 -0.005 10.800 77.400 0.083 2.266 
-0.056 -0.037 0.015 0.049 -0.037 -0.007 0.002 11.000 77.200 0.083 2.247 
-0.037 -0.020 0.012 0.032 -0.027 -0.000 -0.002 11.200 77.000 0.081 2.227 
-0.029 -0.034 -0.012 0.037 -0.012 -0.020 -0.000 11.600 76.800 0.081 2.208 
-0.051 -0.042 0.010 0.046 -0.029 -0.015 0.005 12.000 76.600 0.081 2.183 
-0.056 -0.051 -0.000 0.056 -0.029 -0.022 0.010 12.400 76.400 0.078 2.159 
-0.044 -0.029 0.015 0.037 -0.029 -0.007 0.002 12.800 76.200 0.078 2.134 
-0.046 -0.017 0.027 0.034 -0.037 0.007 -0.000 13.200 75.800 0.078 2.110 
-0.051 -0.017 0.034 0.034 -0.042 0.010 -0.000 13.400 75.600 0.078 2.090 
-0.039 -0.027 0.007 0.037 -0.024 -0.007 0.007 13.600 75.200 0.078 2.071 
-0.042 -0.027 0.017 0.034 -0.027 -0.005 0.017 13.800 75.000 0.078 2.051 
-0.061 -0.034 0.032 0.046 -0.044 -0.002 0.039 13.800 74.800 0.081 2.032 
-0.056 -0.068 -0.015 0.063 -0.022 -0.039 0.059 13.800 74.600 0.081 2.012 
-0.032 -0.073 -0.054 0.059 0.005 -0.056 0.046 13.800 74.400 0.081 1.993 
0.012 -0.039 -0.054 0.015 0.032 -0.044 0.017 13.800 74.200 0.081 1.973 
0.105 -0.007 -0.117 -0.046 0.110 -0.059 -0.088 13.800 74.000 0.081 1.954 
0.242 0.068 -0.173 -0.154 0.208 -0.051 -0.242 14.000 74.000 0.081 1.934 
0.415 0.205 -0.210 -0.310 0.313 -0.002 -0.457 14.200 73.800 0.081 1.915 
0.567 0.352 -0.222 -0.454 0.391 0.068 -0.613 14.600 73.600 0.081 1.895 
0.696 0.552 -0.151 -0.620 0.420 0.205 -0.750 15.000 73.400 0.081 1.875 
0.713 0.596 -0.120 -0.652 0.415 0.239 -0.825 15.800 73.200 0.081 1.851 
0.537 0.440 -0.100 -0.486 0.317 0.171 -0.786 16.400 73.000 0.081 1.827 
0.176 0.232 0.049 -0.200 0.061 0.144 -0.684 17.200 72.800 0.083 1.802 
0.029 0.042 0.010 -0.034 0.010 0.027 -0.642 18.000 72.400 0.083 1.778 
0.090 -0.085 -0.178 -0.000 0.134 -0.129 -0.696 18.800 72.200 0.083 1.758 
0.073 -0.159 -0.239 0.046 0.154 -0.195 -0.637 19.800 72.000 0.083 1.739 
0.046 -0.247 -0.298 0.103 0.171 -0.269 -0.532 20.600 71.800 0.081 1.719 
0.024 -0.200 -0.230 0.090 0.125 -0.212 -0.432 21.400 71.600 0.081 1.700 
-0.049 -0.063 -0.022 0.061 -0.017 -0.039 -0.313 22.200 71.400 0.081 1.675 
-0.105 -0.012 0.085 0.063 -0.098 0.042 -0.193 23.000 71.200 0.081 1.651 
-0.120 -0.020 0.095 0.073 -0.110 0.042 -0.103 23.600 71.000 0.081 1.626 
-0.100 -0.051 0.049 0.076 -0.073 -0.000 -0.022 24.200 70.800 0.081 1.602 
-0.090 -0.054 0.034 0.073 -0.063 -0.007 0.020 24.800 70.600 0.081 1.578 
-0.081 -0.059 0.017 0.073 -0.051 -0.017 0.044 25.400 70.200 0.078 1.553 
-0.068 -0.044 0.022 0.059 -0.046 -0.010 0.037 26.000 70.000 0.078 1.529 
-0.061 -0.049 0.005 0.059 -0.037 -0.017 0.049 26.800 69.800 0.078 1.504 
-0.073 -0.059 0.020 0.063 -0.044 -0.022 0.059 27.800 69.600 0.076 1.485 
-0.071 -0.056 0.015 0.063 -0.042 -0.020 0.061 29.000 69.400 0.073 1.465 
-0.076 -0.044 0.032 0.061 -0.054 -0.005 0.061 30.800 69.400 0.071 1.446 
-0.073 -0.039 0.037 0.056 -0.054 -0.002 0.063 32.600 69.400 0.066 1.426 
-0.073 -0.066 0.007 0.071 -0.039 -0.029 0.068 35.600 69.400 0.066 1.407 
-0.066 -0.061 -0.000 0.066 -0.034 -0.027 0.073 38.400 69.400 0.063 1.387 
-0.076 -0.046 0.027 0.063 -0.051 -0.007 0.071 42.600 69.600 0.063 1.368 
-0.078 -0.037 0.037 0.061 -0.059 0.002 0.073 46.600 69.800 0.063 1.348 
-0.068 -0.034 0.027 0.056 -0.051 -0.000 0.068 52.000 70.200 0.059 1.333 
-0.063 -0.037 0.024 0.051 -0.044 -0.005 0.073 57.400 70.800 0.056 1.319 
-0.085 -0.051 0.029 0.071 -0.059 -0.007 0.076 63.800 71.800 0.051 1.304 
-0.078 -0.063 0.012 0.073 -0.046 -0.024 0.078 70.200 72.800 0.049 1.289 
-0.068 -0.059 0.005 0.066 -0.039 -0.024 0.076 77.000 74.400 0.046 1.270 
-0.083 -0.051 0.022 0.073 -0.056 -0.010 0.081 83.600 76.200 0.046 1.250 
-0.098 -0.081 0.007 0.095 -0.056 -0.032 0.088 89.800 78.400 0.044 1.231 
-0.083 -0.059 0.022 0.073 -0.054 -0.017 0.081 96.000 80.800 0.044 1.211 
-0.076 -0.039 0.029 0.061 -0.056 -0.000 0.068 100.800 83.400 0.042 1.182 
-0.081 -0.066 0.007 0.078 -0.046 -0.024 0.071 105.800 86.000 0.042 1.153 
-0.076 -0.068 -0.000 0.076 -0.042 -0.029 0.076 109.200 89.000 0.039 1.123 
-0.076 -0.056 0.015 0.068 -0.046 -0.017 0.078 112.800 91.800 0.037 1.094 
-0.078 -0.056 0.020 0.068 -0.049 -0.017 0.071 115.000 94.800 0.032 1.031 
-0.090 -0.066 0.017 0.083 -0.056 -0.020 0.078 117.200 97.800 0.029 0.967 
-0.071 -0.061 0.007 0.068 -0.039 -0.024 0.068 118.600 101.000 0.024 0.904 
-0.068 -0.056 0.007 0.066 -0.039 -0.022 0.063 120.000 104.000 0.022 0.840 
-0.081 -0.071 -0.000 0.081 -0.044 -0.029 0.073 121.600 107.000 0.020 0.821 
-0.093 -0.083 0.007 0.090 -0.051 -0.037 0.083 123.000 110.000 0.017 0.801 
-0.068 -0.068 -0.007 0.073 -0.034 -0.034 0.081 125.200 113.000 0.017 0.781 
-0.088 -0.056 0.027 0.076 -0.059 -0.012 0.081 127.400 116.000 0.015 0.762 
-0.083 -0.056 0.020 0.073 -0.054 -0.015 0.071 130.200 118.800 0.012 0.772 
-0.073 -0.083 -0.015 0.081 -0.032 -0.046 0.085 133.200 121.600 0.010 0.781 
-0.076 -0.066 0.010 0.071 -0.042 -0.027 0.083 136.400 124.400 0.007 0.791 
-0.090 -0.068 0.022 0.081 -0.056 -0.022 0.088 139.600 127.000 0.002 0.801 
-0.083 -0.076 0.005 0.081 -0.044 -0.034 0.090 142.800 129.400 -0.000 0.835 
-0.073 -0.066 0.002 0.073 -0.039 -0.029 0.088 146.000 132.000 -0.000 0.869 
-0.083 -0.061 0.015 0.076 -0.051 -0.020 0.090 148.600 134.200 -0.002 0.904 
-0.083 -0.076 -0.002 0.085 -0.044 -0.034 0.103 151.400 136.600 -0.007 0.938 
-0.063 -0.078 -0.020 0.073 -0.024 -0.046 0.110 153.400 138.800 -0.010 1.011 
-0.068 -0.088 -0.029 0.083 -0.024 -0.054 0.117 155.600 141.000 -0.012 1.084 
-0.081 -0.078 -0.005 0.083 -0.042 -0.037 0.129 157.200 143.200 -0.015 1.158 
-0.068 -0.076 -0.017 0.078 -0.029 -0.042 0.129 158.800 145.200 -0.017 1.231 
-0.046 -0.090 -0.051 0.073 -0.000 -0.066 0.142 160.200 147.400 -0.190 1.319 
-0.061 -0.083 -0.024 0.073 -0.020 -0.051 0.151 161.400 149.600 -0.190 1.407 
-0.078 -0.081 -0.015 0.085 -0.037 -0.042 0.161 162.800 151.600 -0.364 1.495 
-0.037 -0.098 -0.066 0.071 0.012 -0.078 0.164 164.400 153.400 -0.364 1.582 
-0.042 -0.046 -0.012 0.049 -0.017 -0.024 0.154 166.000 155.200 -0.195 1.680 
-0.059 -0.039 0.012 0.054 -0.039 -0.010 0.149 167.800 157.000 -0.198 1.778 
-0.046 -0.042 -0.000 0.046 -0.024 -0.017 0.154 169.600 158.600 -0.029 1.875 
-0.042 -0.034 -0.000 0.042 -0.024 -0.012 0.154 171.400 160.400 -0.032 1.973 
-0.027 -0.027 -0.007 0.032 -0.012 -0.012 0.164 173.200 161.800 -0.032 2.056 
-0.042 -0.034 0.007 0.039 -0.024 -0.012 0.168 174.800 163.400 -0.032 2.139 
-0.029 -0.034 -0.015 0.037 -0.012 -0.020 0.164 176.200 164.800 -0.032 2.222 
-0.027 -0.042 -0.029 0.042 -0.005 -0.027 0.159 177.600 166.400 -0.032 2.305 
-0.037 -0.000 0.034 0.020 -0.037 0.020 0.142 178.600 167.600 -0.032 2.374 
-0.022 0.007 0.027 0.010 -0.024 0.020 0.125 179.600 168.800 -0.032 2.442 
-0.022 0.032 0.046 -0.000 -0.037 0.044 0.103 180.200 170.000 -0.032 2.510 
-0.022 0.022 0.044 -0.000 -0.032 0.034 0.095 181.000 171.000 -0.032 2.579 
-0.020 0.022 0.037 0.002 -0.029 0.032 0.073 181.600 172.000 -0.032 2.628 
0.002 0.042 0.034 -0.020 -0.017 0.042 0.051 182.200 173.000 -0.029 2.676 
-0.000 0.051 0.042 -0.020 -0.024 0.051 0.037 182.600 173.600 -0.029 2.725 
-0.005 0.044 0.044 -0.017 -0.027 0.046 0.027 183.200 174.400 -0.024 2.774 
0.002 0.039 0.037 -0.020 -0.017 0.039 0.020 183.400 175.000 -0.024 2.813 
0.010 0.051 0.042 -0.029 -0.015 0.046 -0.000 183.800 175.600 -0.024 2.852 
-0.002 0.039 0.034 -0.015 -0.022 0.042 -0.007 184.000 176.000 -0.024 2.891 
-0.007 0.042 0.044 -0.015 -0.027 0.046 -0.020 184.400 176.400 -0.022 2.930 
0.010 0.032 0.017 -0.017 -0.005 0.027 -0.010 184.400 176.600 -0.020 2.965 
0.012 0.032 0.017 -0.020 -0.002 0.027 -0.012 184.600 176.800 -0.015 2.999 
-0.002 0.044 0.042 -0.017 -0.024 0.046 -0.027 184.400 177.000 -0.012 3.033 
-0.000 0.017 0.010 -0.005 -0.007 0.017 -0.020 184.200 177.200 -0.007 3.067 
0.015 0.017 -0.002 -0.012 0.007 0.010 -0.022 184.000 177.000 -0.007 3.106 
0.002 0.022 0.015 -0.010 -0.007 0.022 -0.027 183.600 177.000 -0.005 3.145 
-0.002 0.024 0.017 -0.005 -0.015 0.027 -0.027 183.000 176.600 -0.005 3.184 
0.012 0.049 0.027 -0.024 -0.012 0.044 -0.032 182.200 176.200 -0.002 3.223 
0.017 0.032 0.012 -0.022 0.002 0.024 -0.034 181.400 175.800 -0.002 3.263 
0.005 0.020 0.010 -0.010 -0.005 0.017 -0.029 180.400 175.400 -0.002 3.302 
0.002 0.017 0.012 -0.007 -0.005 0.017 -0.032 179.200 174.600 -0.000 3.341 
0.005 0.037 0.029 -0.020 -0.012 0.034 -0.037 178.000 173.800 -0.000 3.380 
0.007 0.037 0.029 -0.022 -0.010 0.034 -0.039 176.400 172.800 0.002 3.419 
0.007 0.029 0.022 -0.017 -0.007 0.027 -0.037 175.000 171.800 0.005 3.458 
0.015 0.046 0.029 -0.029 -0.007 0.039 -0.042 173.200 170.400 0.007 3.497 
0.007 0.032 0.022 -0.017 -0.007 0.029 -0.032 171.200 169.000 0.010 3.536 
-0.002 0.024 0.029 -0.012 -0.015 0.027 -0.032 169.000 167.400 0.010 3.570 
0.007 0.044 0.034 -0.024 -0.015 0.042 -0.039 166.800 165.600 0.012 3.604 
0.017 0.063 0.044 -0.039 -0.015 0.056 -0.049 164.200 163.400 0.012 3.639 
0.012 0.032 0.027 -0.024 -0.002 0.027 -0.039 161.400 161.400 0.015 3.673 
0.034 0.046 0.020 -0.044 0.012 0.029 -0.049 158.200 158.800 0.017 3.702 
0.051 0.066 0.017 -0.059 0.020 0.042 -0.054 155.000 156.200 0.020 3.731 
0.078 0.090 0.012 -0.083 0.034 0.051 -0.078 151.400 153.400 0.022 3.761 
0.090 0.098 0.007 -0.093 0.042 0.054 -0.073 147.800 150.600 0.024 3.790 
0.144 0.122 -0.024 -0.132 0.083 0.051 -0.095 143.800 147.600 0.024 3.810 
