I II III aVR aVL aVF V2 AO LV SPO2
0.002 0.017 0.002 -0.002 -0.005 0.017 -0.010 61.600 11.800 1.934 
0.034 0.029 -0.012 -0.027 0.020 0.012 -0.024 61.400 12.000 1.924 
0.037 0.015 -0.032 -0.020 0.029 -0.002 -0.020 61.200 12.000 1.915 
0.012 0.002 -0.020 -0.002 0.012 -0.002 -0.007 61.000 12.200 1.905 
0.022 0.017 -0.012 -0.015 0.015 0.007 -0.015 60.800 12.200 1.895 
0.046 0.024 -0.029 -0.032 0.034 0.002 -0.027 60.600 12.400 1.885 
0.037 0.010 -0.037 -0.017 0.032 -0.007 -0.017 60.400 12.400 1.875 
0.010 -0.002 -0.017 -0.000 0.012 -0.007 -0.005 60.200 12.600 1.866 
0.022 0.017 -0.015 -0.015 0.015 0.007 -0.015 60.000 12.800 1.856 
0.046 0.022 -0.037 -0.027 0.037 -0.000 -0.024 59.800 12.800 1.851 
0.024 -0.005 -0.034 -0.007 0.027 -0.017 -0.010 59.600 13.000 1.846 
0.007 0.007 -0.010 -0.002 0.005 0.005 -0.007 59.600 13.200 1.841 
0.032 0.027 -0.020 -0.022 0.020 0.012 -0.022 59.400 13.200 1.836 
0.046 0.020 -0.034 -0.029 0.037 -0.002 -0.024 59.200 13.400 1.827 
0.017 -0.002 -0.029 -0.002 0.020 -0.010 -0.007 59.000 13.400 1.817 
0.010 0.007 -0.012 -0.002 0.007 0.002 -0.007 58.800 13.600 1.807 
0.032 0.024 -0.024 -0.020 0.020 0.010 -0.022 58.600 13.600 1.797 
0.042 0.012 -0.039 -0.022 0.037 -0.007 -0.020 58.600 13.600 1.788 
0.017 -0.002 -0.029 -0.002 0.020 -0.010 -0.007 58.400 13.600 1.778 
0.022 0.017 -0.015 -0.015 0.015 0.007 -0.015 58.200 13.600 1.768 
0.051 0.024 -0.034 -0.034 0.039 -0.000 -0.027 58.000 13.600 1.758 
0.049 0.010 -0.046 -0.024 0.044 -0.015 -0.022 57.800 13.600 1.744 
0.027 0.007 -0.027 -0.012 0.024 -0.005 -0.015 57.600 13.600 1.729 
0.042 0.032 -0.022 -0.029 0.027 0.012 -0.027 57.600 13.600 1.714 
0.073 0.034 -0.046 -0.049 0.056 -0.002 -0.039 57.400 13.800 1.700 
0.059 0.020 -0.046 -0.034 0.049 -0.010 -0.029 57.200 13.800 1.690 
0.046 0.027 -0.029 -0.032 0.034 0.005 -0.027 57.000 13.800 1.680 
0.073 0.046 -0.042 -0.051 0.051 0.010 -0.042 56.800 13.800 1.670 
0.085 0.039 -0.056 -0.056 0.066 -0.002 -0.044 56.600 13.800 1.661 
0.063 0.027 -0.051 -0.037 0.051 -0.005 -0.032 56.400 14.000 1.656 
0.063 0.044 -0.032 -0.046 0.042 0.012 -0.039 56.200 14.000 1.651 
0.098 0.059 -0.046 -0.073 0.068 0.010 -0.054 56.000 14.000 1.646 
0.100 0.046 -0.063 -0.068 0.078 -0.002 -0.051 56.000 14.200 1.641 
