I II III aVR aVL aVF V1 AO SPO2
0.012 -0.181 -0.227 0.103 0.103 -0.186 0.024 4.800 3.536 
0.017 -0.190 -0.242 0.105 0.112 -0.198 0.024 4.800 3.634 
0.010 -0.183 -0.225 0.103 0.103 -0.188 0.027 4.800 3.731 
-0.002 -0.181 -0.212 0.110 0.088 -0.178 0.029 4.800 3.829 
-0.007 -0.195 -0.220 0.117 0.090 -0.190 0.039 4.800 3.883 
-0.017 -0.217 -0.232 0.134 0.093 -0.208 0.044 4.800 3.937 
-0.017 -0.205 -0.222 0.129 0.085 -0.195 0.032 4.800 3.990 
-0.012 -0.203 -0.225 0.125 0.090 -0.195 0.034 4.800 4.044 
-0.017 -0.205 -0.215 0.125 0.085 -0.195 0.044 4.800 4.063 
-0.017 -0.208 -0.222 0.129 0.088 -0.198 0.054 4.600 4.083 
-0.010 -0.210 -0.230 0.125 0.095 -0.205 0.049 4.600 4.103 
-0.007 -0.225 -0.244 0.129 0.105 -0.220 0.046 4.800 4.122 
-0.015 -0.232 -0.249 0.139 0.103 -0.225 0.054 4.800 4.112 
-0.020 -0.232 -0.249 0.144 0.098 -0.222 0.054 4.800 4.103 
-0.012 -0.222 -0.247 0.137 0.100 -0.215 0.061 4.800 4.093 
-0.020 -0.222 -0.239 0.139 0.093 -0.212 0.056 4.800 4.083 
-0.034 -0.212 -0.208 0.139 0.073 -0.195 0.054 4.800 4.059 
-0.029 -0.212 -0.217 0.139 0.078 -0.198 0.054 4.800 4.034 
-0.015 -0.222 -0.232 0.132 0.098 -0.215 0.054 4.800 4.010 
-0.024 -0.242 -0.247 0.149 0.098 -0.230 0.056 4.800 3.985 
-0.005 -0.232 -0.266 0.139 0.112 -0.230 0.061 4.800 3.961 
-0.012 -0.222 -0.242 0.134 0.100 -0.215 0.066 5.000 3.937 
-0.015 -0.234 -0.254 0.142 0.103 -0.227 0.066 5.000 3.912 
-0.017 -0.237 -0.249 0.142 0.103 -0.227 0.071 5.000 3.888 
-0.027 -0.256 -0.256 0.156 0.103 -0.242 0.110 5.000 3.858 
-0.015 -0.274 -0.291 0.161 0.122 -0.266 0.139 5.000 3.829 
-0.005 -0.230 -0.254 0.132 0.110 -0.227 0.134 5.000 3.800 
0.020 -0.139 -0.195 0.078 0.090 -0.149 0.105 5.000 3.770 
0.078 -0.017 -0.127 -0.015 0.088 -0.056 0.051 5.000 3.741 
0.132 0.063 -0.095 -0.083 0.100 -0.002 -0.049 4.800 3.712 
0.230 0.181 -0.073 -0.193 0.139 0.066 -0.188 4.800 3.683 
0.295 0.283 -0.039 -0.276 0.154 0.137 -0.313 4.800 3.653 
0.300 0.291 -0.042 -0.278 0.156 0.142 -0.357 4.800 3.624 
0.247 0.212 -0.066 -0.212 0.142 0.090 -0.366 4.800 3.595 
0.129 0.049 -0.105 -0.076 0.105 -0.015 -0.325 4.800 3.565 
-0.012 -0.132 -0.149 0.088 0.054 -0.125 -0.254 4.800 3.536 
-0.125 -0.330 -0.234 0.242 0.042 -0.266 -0.183 4.800 3.507 
-0.190 -0.459 -0.295 0.339 0.039 -0.364 -0.129 4.800 3.477 
-0.188 -0.530 -0.359 0.369 0.078 -0.435 -0.112 4.800 3.448 
-0.212 -0.567 -0.379 0.403 0.071 -0.459 -0.088 4.800 3.419 
-0.210 -0.505 -0.327 0.374 0.044 -0.400 -0.054 4.800 3.394 
-0.161 -0.449 -0.305 0.315 0.063 -0.369 -0.049 4.800 3.370 
-0.122 -0.405 -0.303 0.274 0.081 -0.344 -0.024 4.800 3.346 
-0.100 -0.371 -0.288 0.244 0.085 -0.320 -0.007 4.600 3.321 
-0.073 -0.335 -0.281 0.215 0.095 -0.298 -0.000 4.600 3.297 
-0.049 -0.295 -0.269 0.183 0.100 -0.271 0.005 4.800 3.272 
-0.056 -0.293 -0.259 0.186 0.090 -0.264 0.029 4.800 3.248 
-0.042 -0.271 -0.249 0.166 0.095 -0.249 0.037 4.800 3.223 
-0.032 -0.264 -0.256 0.161 0.100 -0.247 0.054 4.800 3.209 
-0.032 -0.261 -0.247 0.156 0.100 -0.244 0.054 4.800 3.194 
-0.015 -0.271 -0.271 0.151 0.122 -0.264 0.061 4.800 3.179 
-0.002 -0.261 -0.274 0.139 0.129 -0.259 0.059 4.800 3.165 
-0.010 -0.234 -0.247 0.134 0.107 -0.230 0.061 4.800 3.160 
-0.010 -0.220 -0.230 0.125 0.100 -0.215 0.063 4.800 3.155 
-0.007 -0.225 -0.230 0.122 0.105 -0.220 0.073 4.800 3.150 
-0.007 -0.220 -0.222 0.120 0.103 -0.215 0.061 4.800 3.145 
0.002 -0.203 -0.232 0.115 0.105 -0.203 0.049 4.800 3.140 
-0.000 -0.195 -0.208 0.105 0.098 -0.195 0.059 5.000 3.136 
0.015 -0.181 -0.208 0.090 0.105 -0.188 0.054 5.000 3.131 
0.012 -0.195 -0.225 0.100 0.110 -0.200 0.061 5.000 3.126 
0.015 -0.205 -0.237 0.105 0.117 -0.212 0.061 5.000 3.126 
0.010 -0.230 -0.254 0.117 0.125 -0.234 0.071 5.000 3.126 
0.015 -0.234 -0.266 0.120 0.132 -0.242 0.081 5.000 3.126 
0.022 -0.222 -0.261 0.110 0.134 -0.232 0.076 5.200 3.126 
0.027 -0.208 -0.252 0.100 0.132 -0.220 0.076 5.000 3.131 
0.027 -0.195 -0.237 0.093 0.125 -0.208 0.073 5.000 3.136 
0.024 -0.200 -0.232 0.093 0.125 -0.212 0.076 5.000 3.140 
0.029 -0.200 -0.237 0.090 0.129 -0.215 0.059 5.000 3.145 
0.037 -0.178 -0.230 0.078 0.127 -0.195 0.059 5.000 3.150 
0.032 -0.168 -0.212 0.076 0.117 -0.183 0.066 5.000 3.155 
