I II III aVR aVL aVF V1 V2 LV AO Resp SPO2
0.015 0.029 -0.010 -0.010 -0.000 0.022 -0.020 -0.017 32.800 75.400 -0.142 2.178 
0.017 0.027 -0.005 -0.015 0.005 0.020 -0.012 -0.017 29.800 75.200 -0.132 2.168 
-0.002 0.012 -0.007 0.007 -0.007 0.015 -0.007 -0.005 26.800 75.000 -0.125 2.159 
-0.015 -0.007 -0.012 0.022 -0.010 -0.000 0.002 0.005 24.000 74.600 -0.117 2.149 
-0.017 -0.012 -0.017 0.027 -0.010 -0.002 0.005 0.007 21.600 74.400 -0.110 2.139 
-0.015 0.010 -0.005 0.017 -0.020 0.017 0.007 -0.000 19.400 74.000 -0.100 2.129 
-0.012 0.007 -0.007 0.017 -0.015 0.015 0.012 -0.000 17.200 73.800 -0.095 2.120 
-0.017 -0.012 -0.012 0.024 -0.010 -0.002 0.017 0.007 15.400 73.600 -0.090 2.110 
-0.020 -0.007 -0.010 0.024 -0.015 0.002 0.022 0.007 13.800 73.200 -0.085 2.100 
-0.007 0.010 -0.002 0.010 -0.012 0.015 0.017 -0.002 12.600 73.000 -0.081 2.090 
-0.012 0.007 -0.002 0.015 -0.015 0.015 0.012 -0.000 11.400 72.600 -0.073 2.081 
-0.020 -0.007 -0.002 0.022 -0.015 0.002 0.017 0.007 10.400 72.200 -0.066 2.071 
-0.017 -0.034 -0.039 0.037 -0.000 -0.024 0.024 0.015 9.600 72.000 -0.059 2.061 
-0.012 -0.000 -0.012 0.020 -0.012 0.007 0.015 0.002 9.000 71.600 -0.051 2.051 
-0.012 0.002 -0.010 0.017 -0.012 0.010 0.010 -0.000 8.600 71.400 -0.046 2.037 
-0.017 -0.012 -0.012 0.024 -0.010 -0.002 0.017 0.007 8.200 71.000 -0.042 2.022 
-0.027 -0.007 -0.000 0.027 -0.022 0.007 0.020 0.010 8.200 70.600 -0.034 2.007 
-0.015 -0.000 -0.005 0.017 -0.015 0.007 0.015 0.002 8.200 70.200 -0.029 1.993 
-0.020 -0.000 0.005 0.017 -0.020 0.010 0.012 0.005 8.200 70.000 -0.024 1.978 
-0.027 -0.020 -0.015 0.034 -0.017 -0.005 0.012 0.012 8.400 69.600 -0.022 1.963 
-0.024 -0.024 -0.017 0.034 -0.012 -0.012 0.017 0.015 8.800 69.200 -0.017 1.949 
-0.010 0.002 -0.012 0.017 -0.010 0.007 0.015 -0.000 9.200 68.800 -0.015 1.934 
-0.012 -0.007 -0.017 0.022 -0.007 -0.000 0.022 0.005 9.600 68.400 -0.007 1.919 
-0.010 -0.034 -0.042 0.032 0.007 -0.029 0.029 0.012 10.000 68.200 -0.002 1.905 
-0.010 -0.037 -0.046 0.034 0.010 -0.032 0.027 0.012 10.600 67.800 0.002 1.890 
0.015 -0.027 -0.066 0.020 0.029 -0.034 0.029 0.002 11.200 67.400 0.010 1.875 
0.042 -0.024 -0.083 -0.000 0.054 -0.044 0.046 -0.007 11.800 67.200 0.012 1.871 
0.056 -0.044 -0.117 0.002 0.078 -0.071 0.078 -0.007 12.400 66.800 0.015 1.866 
0.105 -0.054 -0.181 -0.015 0.132 -0.105 0.156 -0.020 13.000 66.400 0.020 1.861 
0.193 -0.066 -0.276 -0.054 0.227 -0.161 0.222 -0.044 13.800 66.200 0.022 1.856 
0.283 -0.051 -0.354 -0.105 0.310 -0.193 0.300 -0.081 14.400 65.800 0.027 1.871 
0.322 -0.020 -0.357 -0.144 0.332 -0.181 0.339 -0.103 15.200 65.600 0.029 1.885 
0.310 0.059 -0.274 -0.173 0.281 -0.095 0.383 -0.125 16.000 65.400 0.034 1.900 
0.178 0.200 0.005 -0.181 0.078 0.112 0.349 -0.129 16.800 65.000 0.042 1.915 
0.024 0.352 0.308 -0.178 -0.151 0.339 0.249 -0.127 17.800 64.800 0.046 1.949 
-0.110 0.479 0.571 -0.176 -0.349 0.535 0.176 -0.125 18.600 64.600 0.054 1.983 
-0.147 0.498 0.632 -0.168 -0.396 0.571 0.176 -0.120 19.600 64.600 0.059 2.017 
-0.156 0.462 0.603 -0.144 -0.386 0.540 0.183 -0.105 20.400 64.400 0.066 2.051 
-0.176 0.374 0.530 -0.088 -0.361 0.462 0.337 -0.068 21.400 64.200 0.068 2.095 
-0.220 0.269 0.469 -0.015 -0.354 0.379 0.540 -0.020 22.200 64.000 0.073 2.139 
-0.230 0.198 0.413 0.024 -0.327 0.313 0.740 0.007 23.000 63.800 0.076 2.183 
-0.227 0.156 0.361 0.046 -0.305 0.271 0.996 0.022 23.800 63.600 0.081 2.227 
-0.252 0.117 0.349 0.078 -0.310 0.244 1.009 0.042 24.600 63.600 0.085 2.286 
-0.298 0.059 0.337 0.129 -0.327 0.208 1.018 0.078 25.200 63.400 0.090 2.344 
-0.300 0.012 0.293 0.154 -0.305 0.164 1.016 0.093 25.600 63.400 0.098 2.403 
