I II III aVR aVL aVF V1 AO Resp SPO2
-0.037 -0.137 -0.098 0.085 0.032 -0.117 -0.005 73.400 0.049 2.276 
-0.066 -0.171 -0.100 0.117 0.020 -0.137 -0.007 73.800 0.049 2.266 
-0.051 -0.183 -0.125 0.115 0.042 -0.156 -0.000 74.400 0.051 2.256 
-0.037 -0.188 -0.151 0.112 0.059 -0.168 -0.005 75.000 0.054 2.247 
-0.056 -0.205 -0.151 0.132 0.046 -0.176 -0.002 75.400 0.054 2.266 
-0.068 -0.227 -0.154 0.147 0.046 -0.193 -0.007 76.000 0.054 2.286 
-0.071 -0.254 -0.178 0.161 0.056 -0.217 0.002 76.800 0.056 2.305 
-0.066 -0.261 -0.200 0.166 0.066 -0.227 -0.005 77.400 0.059 2.325 
-0.068 -0.264 -0.198 0.168 0.063 -0.230 -0.005 78.000 0.059 2.398 
-0.078 -0.276 -0.198 0.178 0.061 -0.237 -0.015 78.600 0.061 2.471 
-0.076 -0.278 -0.203 0.178 0.063 -0.239 -0.017 79.200 0.061 2.545 
-0.071 -0.274 -0.210 0.176 0.066 -0.237 -0.020 80.000 0.063 2.618 
-0.059 -0.261 -0.205 0.161 0.073 -0.232 -0.032 80.600 0.063 2.642 
-0.042 -0.234 -0.195 0.139 0.076 -0.212 -0.042 81.200 0.063 2.667 
-0.022 -0.200 -0.178 0.112 0.078 -0.188 -0.044 81.800 0.063 2.691 
-0.017 -0.178 -0.161 0.098 0.073 -0.168 -0.051 82.400 0.066 2.716 
-0.002 -0.159 -0.154 0.081 0.078 -0.156 -0.068 82.800 0.066 2.730 
0.017 -0.125 -0.139 0.054 0.081 -0.132 -0.073 83.200 0.066 2.745 
0.037 -0.088 -0.115 0.022 0.081 -0.105 -0.083 83.600 0.066 2.759 
0.051 -0.061 -0.107 0.002 0.083 -0.085 -0.090 84.000 0.068 2.774 
0.044 -0.039 -0.076 -0.005 0.063 -0.061 -0.083 84.400 0.068 2.774 
0.068 -0.005 -0.071 -0.032 0.071 -0.039 -0.093 84.600 0.068 2.774 
0.071 0.010 -0.056 -0.042 0.066 -0.024 -0.083 84.800 0.068 2.774 
0.068 0.022 -0.042 -0.046 0.059 -0.012 -0.083 85.000 0.066 2.774 
0.068 0.042 -0.024 -0.056 0.049 0.007 -0.068 85.200 0.066 2.769 
0.071 0.049 -0.017 -0.061 0.046 0.015 -0.066 85.400 0.063 2.764 
0.059 0.059 0.002 -0.059 0.029 0.029 -0.049 85.400 0.063 2.759 
0.059 0.063 0.007 -0.061 0.027 0.034 -0.042 85.600 0.063 2.755 
0.054 0.083 0.034 -0.071 0.012 0.056 -0.024 85.600 0.063 2.740 
0.039 0.085 0.051 -0.063 -0.002 0.066 -0.022 85.600 0.061 2.725 
0.049 0.081 0.037 -0.066 0.010 0.056 -0.017 85.400 0.061 2.711 
0.046 0.076 0.037 -0.063 0.010 0.054 -0.015 85.400 0.061 2.696 
0.039 0.078 0.042 -0.059 -0.000 0.059 -0.002 85.400 0.059 2.686 
0.024 0.066 0.044 -0.046 -0.007 0.054 -0.000 85.200 0.059 2.676 
0.044 0.083 0.046 -0.066 0.002 0.061 0.005 85.000 0.059 2.667 
0.017 0.061 0.044 -0.039 -0.012 0.054 0.012 84.800 0.056 2.657 
0.020 0.056 0.042 -0.039 -0.007 0.046 0.015 84.600 0.054 2.637 
0.020 0.054 0.039 -0.039 -0.007 0.044 0.022 84.400 0.054 2.618 
0.020 0.044 0.029 -0.034 -0.002 0.034 0.027 84.200 0.051 2.598 
0.005 0.037 0.037 -0.022 -0.012 0.034 0.024 83.800 0.051 2.579 
0.015 0.044 0.034 -0.032 -0.007 0.037 0.024 83.400 0.049 2.549 
0.007 0.042 0.044 -0.029 -0.012 0.039 0.024 83.000 0.049 2.520 
0.020 0.063 0.046 -0.042 -0.012 0.054 0.032 82.400 0.049 2.491 
0.032 0.063 0.037 -0.049 -0.000 0.049 0.017 82.000 0.046 2.462 
0.029 0.063 0.046 -0.051 -0.002 0.049 0.017 81.400 0.046 2.432 
0.044 0.068 0.034 -0.061 0.010 0.046 0.012 80.800 0.046 2.403 
0.020 0.059 0.046 -0.042 -0.010 0.049 0.017 80.400 0.046 2.374 
0.024 0.054 0.034 -0.042 -0.002 0.042 0.022 79.800 0.046 2.344 
0.029 0.061 0.039 -0.049 -0.000 0.046 0.032 79.400 0.046 2.310 
0.039 0.081 0.046 -0.061 -0.000 0.061 0.027 79.000 0.046 2.276 
0.034 0.107 0.078 -0.073 -0.020 0.090 0.044 78.400 0.046 2.242 
0.034 0.137 0.105 -0.085 -0.034 0.120 0.059 77.800 0.046 2.208 
0.039 0.159 0.129 -0.103 -0.039 0.139 0.081 77.200 0.046 2.183 
0.059 0.181 0.129 -0.122 -0.032 0.151 0.085 76.400 0.046 2.159 
0.093 0.212 0.127 -0.156 -0.012 0.166 0.095 75.600 0.046 2.134 
0.095 0.244 0.154 -0.171 -0.027 0.198 0.103 74.600 0.049 2.110 
0.095 0.249 0.154 -0.171 -0.029 0.203 0.071 73.800 0.049 2.090 
0.107 0.274 0.166 -0.190 -0.029 0.220 0.093 73.000 0.049 2.071 
0.085 0.247 0.166 -0.168 -0.037 0.205 0.100 72.400 0.049 2.051 
0.081 0.239 0.166 -0.164 -0.039 0.200 0.024 71.600 0.049 2.032 
0.073 0.198 0.129 -0.137 -0.024 0.161 -0.010 71.000 0.049 2.017 
0.071 0.164 0.098 -0.120 -0.010 0.129 -0.037 70.400 0.049 2.002 
0.066 0.149 0.088 -0.110 -0.007 0.117 -0.051 69.600 0.049 1.988 
0.066 0.142 0.081 -0.105 -0.005 0.110 -0.066 68.800 0.051 1.973 
0.054 0.137 0.090 -0.098 -0.015 0.110 -0.059 68.000 0.051 1.958 
0.071 0.151 0.088 -0.115 -0.005 0.117 -0.073 67.200 0.051 1.944 
0.081 0.137 0.063 -0.112 0.012 0.098 -0.081 66.600 0.051 1.929 
0.083 0.088 0.010 -0.088 0.039 0.046 -0.061 65.800 0.054 1.915 
0.051 0.054 0.012 -0.056 0.024 0.029 -0.039 65.200 0.054 1.900 
0.037 0.046 0.017 -0.044 0.015 0.029 -0.027 64.600 0.054 1.885 
0.034 0.054 0.020 -0.044 0.007 0.037 -0.022 64.200 0.054 1.871 
0.020 0.076 0.054 -0.046 -0.017 0.066 -0.020 63.600 0.054 1.856 
0.010 0.059 0.046 -0.032 -0.020 0.054 -0.007 63.000 0.054 1.836 
0.007 0.042 0.034 -0.024 -0.012 0.039 0.007 62.400 0.054 1.817 
0.010 0.020 0.017 -0.017 -0.000 0.015 0.005 61.800 0.054 1.797 
0.002 0.005 0.005 -0.005 -0.000 0.005 0.015 61.400 0.054 1.778 
-0.012 -0.002 0.010 0.007 -0.010 0.005 0.017 61.000 0.054 1.763 
-0.010 0.002 0.010 0.005 -0.010 0.007 0.020 60.600 0.054 1.748 
-0.012 -0.000 0.005 0.010 -0.012 0.007 0.020 60.200 0.054 1.734 
