I II III aVL aVF V1 V2 LV AO Resp SPO2
-0.000 0.044 -0.000 0.010 0.029 -0.007 -0.027 -1.800 84.400 -0.271 2.608 
-0.000 0.056 -0.000 0.027 0.029 -0.015 -0.039 -1.800 86.600 -0.271 2.564 
-0.000 0.034 -0.000 -0.000 0.027 -0.029 -0.020 -1.800 88.800 -0.274 2.520 
-0.000 0.063 -0.000 0.010 0.044 -0.015 -0.037 -1.800 90.800 -0.276 2.486 
-0.000 0.085 -0.000 0.024 0.054 -0.002 -0.054 -1.800 93.000 -0.276 2.452 
-0.000 0.081 -0.000 0.017 0.054 -0.015 -0.049 -1.800 95.000 -0.276 2.418 
-0.000 0.090 -0.000 0.017 0.061 -0.022 -0.054 -1.800 96.800 -0.278 2.383 
-0.000 0.093 -0.000 0.017 0.061 -0.024 -0.054 -1.800 98.200 -0.281 2.364 
-0.000 0.095 -0.000 0.012 0.066 -0.017 -0.054 -1.800 99.800 -0.281 2.344 
-0.000 0.103 -0.000 0.012 0.071 -0.015 -0.059 -1.800 101.000 -0.283 2.325 
-0.000 0.117 -0.000 0.005 0.085 -0.022 -0.063 -1.800 102.200 -0.286 2.305 
-0.000 0.139 -0.000 0.015 0.098 -0.015 -0.076 -1.800 103.200 -0.286 2.291 
-0.000 0.144 -0.000 0.020 0.100 -0.012 -0.081 -1.800 104.200 -0.288 2.276 
-0.000 0.149 -0.000 0.007 0.110 -0.017 -0.078 -1.800 104.800 -0.291 2.261 
-0.000 0.166 -0.000 0.015 0.117 -0.024 -0.090 -1.600 105.400 -0.293 2.247 
-0.000 0.173 -0.000 -0.000 0.132 -0.005 -0.088 -1.600 105.600 -0.295 2.237 
-0.000 0.186 -0.000 0.007 0.137 0.002 -0.098 -1.600 105.600 -0.298 2.227 
-0.000 0.193 -0.000 0.007 0.142 -0.000 -0.100 -1.600 105.400 -0.300 2.217 
-0.000 0.200 -0.000 0.002 0.149 0.002 -0.103 -1.800 105.200 -0.303 2.208 
-0.000 0.210 -0.000 0.005 0.156 0.005 -0.110 -1.800 104.800 -0.305 2.203 
-0.000 0.230 -0.000 0.005 0.171 0.017 -0.120 -2.000 104.600 -0.305 2.198 
-0.000 0.232 -0.000 0.010 0.171 0.024 -0.122 -2.000 104.400 -0.305 2.193 
-0.000 0.234 -0.000 0.002 0.176 0.020 -0.120 -2.000 104.000 -0.308 2.188 
-0.000 0.244 -0.000 -0.010 0.188 0.029 -0.122 -2.000 104.000 -0.310 2.183 
-0.000 0.244 -0.000 -0.010 0.188 0.029 -0.122 -2.000 103.800 -0.313 2.178 
-0.000 0.247 -0.000 -0.005 0.188 0.032 -0.125 -1.800 103.800 -0.315 2.173 
-0.000 0.239 -0.000 -0.017 0.188 0.034 -0.117 -1.800 103.600 -0.317 2.168 
-0.000 0.239 -0.000 -0.012 0.186 0.042 -0.117 -1.800 103.800 -0.320 2.159 
-0.000 0.227 -0.000 -0.017 0.181 0.044 -0.110 -1.800 103.800 -0.322 2.149 
-0.000 0.222 -0.000 -0.010 0.173 0.046 -0.110 -1.800 104.000 -0.325 2.139 
-0.000 0.205 -0.000 -0.012 0.161 0.046 -0.100 -1.800 104.400 -0.327 2.129 
-0.000 0.181 -0.000 -0.010 0.142 0.049 -0.090 -1.800 104.600 -0.330 2.120 
-0.000 0.171 -0.000 -0.017 0.137 0.054 -0.083 -1.800 104.800 -0.332 2.110 
-0.000 0.137 -0.000 -0.024 0.115 0.049 -0.063 -1.800 105.000 -0.337 2.100 
-0.000 0.137 -0.000 -0.012 0.110 0.042 -0.066 -1.800 105.200 -0.342 2.090 
-0.000 0.122 -0.000 -0.015 0.100 0.039 -0.059 -1.800 105.200 -0.344 2.076 
-0.000 0.098 -0.000 -0.022 0.085 0.042 -0.044 -1.800 105.200 -0.347 2.061 
-0.000 0.076 -0.000 -0.010 0.063 0.037 -0.037 -1.800 105.000 -0.349 2.046 
-0.000 0.061 -0.000 -0.024 0.059 0.032 -0.024 -1.800 104.800 -0.352 2.032 
-0.000 0.049 -0.000 -0.015 0.044 0.022 -0.022 -1.800 104.400 -0.352 2.012 
-0.000 0.032 -0.000 -0.024 0.037 0.027 -0.010 -1.800 103.800 -0.352 1.993 
-0.000 0.017 -0.000 -0.020 0.024 0.012 -0.005 -1.800 103.000 -0.354 1.973 
-0.000 0.007 -0.000 -0.005 0.010 0.010 -0.005 -1.800 102.200 -0.357 1.954 
