I II III aVR aVL aVF V1 AO SPO2
0.256 -0.147 -0.408 -0.051 0.330 -0.274 0.083 -7.800 4.220 
0.261 -0.147 -0.403 -0.059 0.335 -0.276 0.081 -7.800 4.181 
0.264 -0.142 -0.413 -0.056 0.335 -0.274 0.085 -8.000 4.142 
0.276 -0.151 -0.435 -0.059 0.352 -0.288 0.090 -8.000 4.103 
0.288 -0.154 -0.449 -0.063 0.366 -0.298 0.107 -8.000 4.073 
0.303 -0.156 -0.454 -0.076 0.381 -0.308 0.103 -8.000 4.044 
0.310 -0.156 -0.466 -0.076 0.388 -0.310 0.112 -8.000 4.015 
0.327 -0.156 -0.493 -0.081 0.405 -0.320 0.112 -8.000 3.985 
0.335 -0.164 -0.503 -0.083 0.418 -0.330 0.125 -8.000 3.941 
0.344 -0.161 -0.498 -0.095 0.425 -0.332 0.129 -8.000 3.897 
0.354 -0.144 -0.505 -0.100 0.427 -0.320 0.120 -8.000 3.853 
0.364 -0.147 -0.520 -0.103 0.437 -0.327 0.129 -7.800 3.810 
0.379 -0.144 -0.525 -0.115 0.452 -0.332 0.134 -8.000 3.761 
0.376 -0.122 -0.503 -0.125 0.437 -0.310 0.132 -8.000 3.712 
0.379 -0.105 -0.491 -0.132 0.432 -0.293 0.134 -8.000 3.663 
0.374 -0.103 -0.491 -0.127 0.425 -0.288 0.132 -8.000 3.614 
0.371 -0.098 -0.476 -0.132 0.420 -0.283 0.134 -8.000 3.556 
0.369 -0.083 -0.457 -0.139 0.410 -0.266 0.127 -8.000 3.497 
0.364 -0.083 -0.454 -0.137 0.405 -0.264 0.129 -8.000 3.438 
0.354 -0.081 -0.444 -0.132 0.396 -0.256 0.127 -8.000 3.380 
0.335 -0.073 -0.420 -0.125 0.371 -0.239 0.125 -8.000 3.316 
0.330 -0.046 -0.381 -0.139 0.354 -0.210 0.115 -7.800 3.253 
0.320 -0.027 -0.357 -0.142 0.335 -0.186 0.117 -7.800 3.189 
0.305 -0.024 -0.347 -0.132 0.317 -0.176 0.115 -7.800 3.126 
0.286 -0.020 -0.317 -0.127 0.295 -0.161 0.115 -8.000 3.072 
0.276 0.007 -0.274 -0.139 0.274 -0.129 0.100 -8.000 3.018 
0.249 0.017 -0.242 -0.127 0.242 -0.107 0.100 -8.000 2.965 
0.222 0.024 -0.212 -0.115 0.210 -0.085 0.088 -8.000 2.911 
0.203 0.037 -0.178 -0.112 0.186 -0.063 0.083 -7.800 2.862 
0.188 0.054 -0.142 -0.117 0.161 -0.039 0.066 -7.800 2.813 
0.176 0.054 -0.129 -0.110 0.149 -0.034 0.056 -7.800 2.764 
0.156 0.059 -0.110 -0.100 0.127 -0.020 0.046 -7.800 2.716 
0.132 0.054 -0.088 -0.088 0.105 -0.012 0.037 -7.800 2.681 
0.115 0.059 -0.059 -0.085 0.085 0.002 0.024 -7.800 2.647 
0.103 0.061 -0.049 -0.078 0.073 0.010 0.015 -8.000 2.613 
0.090 0.049 -0.054 -0.063 0.066 0.005 0.010 -8.000 2.579 
0.071 0.039 -0.044 -0.049 0.051 0.005 0.015 -8.000 2.559 
0.068 0.046 -0.027 -0.054 0.046 0.012 0.005 -8.200 2.540 
0.066 0.054 -0.022 -0.054 0.039 0.022 -0.000 -8.000 2.520 
0.063 0.034 -0.039 -0.044 0.046 0.002 -0.005 -8.000 2.501 
0.051 0.022 -0.037 -0.032 0.042 -0.002 -0.007 -8.000 2.491 
0.044 0.020 -0.027 -0.029 0.034 -0.002 -0.012 -8.000 2.481 
0.039 0.010 -0.034 -0.022 0.034 -0.010 -0.012 -7.800 2.471 
0.029 -0.000 -0.044 -0.007 0.029 -0.015 -0.007 -7.800 2.462 
0.029 -0.005 -0.046 -0.005 0.032 -0.020 -0.007 -7.800 2.462 
0.027 -0.007 -0.034 -0.010 0.032 -0.020 -0.010 -8.000 2.462 
0.032 -0.012 -0.044 -0.010 0.039 -0.027 -0.007 -8.000 2.462 
0.027 -0.024 -0.059 0.002 0.039 -0.037 -0.002 -8.000 2.462 
0.024 -0.027 -0.056 0.005 0.039 -0.039 -0.000 -8.000 2.466 
0.024 -0.029 -0.049 -0.000 0.039 -0.042 0.002 -8.000 2.471 
0.017 -0.029 -0.051 0.010 0.032 -0.037 -0.000 -8.000 2.476 
0.015 -0.034 -0.059 0.015 0.032 -0.042 0.005 -8.000 2.481 
0.020 -0.029 -0.049 0.005 0.034 -0.039 -0.000 -7.800 2.486 
0.017 -0.022 -0.042 0.005 0.029 -0.029 0.002 -7.800 2.491 
0.015 -0.029 -0.049 0.010 0.029 -0.037 0.002 -7.800 2.496 
0.015 -0.032 -0.051 0.012 0.032 -0.039 -0.000 -7.800 2.501 
0.017 -0.017 -0.039 0.002 0.027 -0.024 -0.002 -7.800 2.491 
0.010 -0.015 -0.034 0.007 0.017 -0.020 -0.000 -7.800 2.481 
0.012 -0.017 -0.039 0.007 0.022 -0.022 -0.000 -7.800 2.471 
0.020 -0.017 -0.042 0.002 0.029 -0.027 -0.005 -7.800 2.462 
0.010 -0.017 -0.039 0.010 0.020 -0.022 -0.007 -7.800 2.442 
0.005 -0.012 -0.027 0.010 0.012 -0.015 -0.000 -7.800 2.422 
0.005 -0.015 -0.029 0.010 0.012 -0.017 -0.010 -7.800 2.403 
0.002 -0.020 -0.034 0.015 0.012 -0.020 -0.002 -7.800 2.383 
0.002 -0.017 -0.027 0.012 0.012 -0.017 -0.007 -8.000 2.369 
0.002 -0.002 -0.020 0.007 0.005 -0.002 -0.010 -8.000 2.354 
0.005 -0.002 -0.022 0.007 0.007 -0.005 -0.007 -8.000 2.339 
0.005 -0.010 -0.029 0.010 0.010 -0.012 -0.007 -8.000 2.325 
-0.005 -0.007 -0.012 0.012 -0.000 -0.005 -0.005 -8.000 2.305 
0.005 -0.000 -0.015 0.002 0.005 -0.002 -0.005 -8.000 2.286 
0.007 -0.012 -0.029 0.007 0.015 -0.015 -0.002 -8.000 2.266 
0.010 -0.017 -0.037 0.010 0.020 -0.022 -0.010 -8.000 2.247 
0.005 -0.017 -0.034 0.012 0.015 -0.020 -0.012 -8.000 2.227 
0.007 -0.010 -0.027 0.007 0.012 -0.012 -0.017 -8.000 2.208 
0.010 -0.012 -0.032 0.007 0.017 -0.017 -0.015 -8.000 2.188 
-0.002 -0.020 -0.029 0.017 0.007 -0.017 -0.012 -8.000 2.168 
-0.005 -0.017 -0.020 0.015 0.005 -0.015 -0.012 -8.000 2.149 
-0.010 -0.010 -0.010 0.015 -0.005 -0.005 -0.012 -8.000 2.129 
-0.002 -0.005 -0.007 0.007 -0.000 -0.002 -0.020 -8.000 2.110 
-0.012 -0.015 -0.012 0.020 -0.005 -0.007 -0.012 -7.800 2.090 
-0.010 -0.017 -0.012 0.017 -0.000 -0.012 -0.012 -7.800 2.066 
-0.007 -0.012 -0.005 0.010 -0.000 -0.007 -0.010 -7.800 2.042 
-0.005 -0.007 -0.010 0.010 -0.000 -0.005 -0.017 -7.800 2.017 
-0.007 -0.005 -0.005 0.010 -0.005 -0.000 -0.012 -7.800 1.993 
-0.010 0.002 0.002 0.010 -0.010 0.007 -0.017 -8.000 1.968 
-0.007 0.005 0.010 0.002 -0.010 0.010 -0.027 -8.000 1.944 
-0.005 0.002 -0.000 0.005 -0.005 0.005 -0.022 -8.000 1.919 
-0.007 -0.010 -0.007 0.012 -0.002 -0.005 -0.017 -8.000 1.895 
-0.007 0.005 0.002 0.007 -0.010 0.010 -0.022 -8.000 1.871 
-0.005 0.007 0.012 -0.000 -0.007 0.010 -0.017 -7.800 1.846 
-0.012 -0.000 0.007 0.010 -0.012 0.007 -0.020 -7.800 1.822 
-0.012 -0.010 0.002 0.012 -0.007 -0.002 -0.022 -7.800 1.797 
-0.012 0.002 0.010 0.007 -0.012 0.010 -0.017 -8.000 1.783 
-0.012 0.005 0.015 0.005 -0.015 0.012 -0.017 -8.000 1.768 
-0.017 -0.005 0.007 0.015 -0.015 0.005 -0.024 -8.000 1.753 
