I II III aVR aVL aVF V1 AO LV SPO2
-0.010 0.007 -0.000 0.010 -0.012 0.012 -0.010 93.200 25.600 3.350 
0.012 0.029 -0.005 -0.010 -0.002 0.024 -0.007 93.000 22.600 3.360 
-0.012 0.010 -0.002 0.015 -0.017 0.017 -0.000 92.800 19.800 3.370 
-0.010 0.002 -0.005 0.012 -0.010 0.007 -0.007 92.600 17.200 3.380 
0.012 0.020 -0.012 -0.005 0.002 0.015 -0.007 92.600 15.000 3.370 
-0.000 0.012 -0.007 0.005 -0.005 0.012 -0.017 92.400 13.200 3.360 
-0.005 0.010 -0.005 0.007 -0.010 0.012 -0.010 92.400 11.600 3.350 
-0.005 0.012 -0.005 0.007 -0.010 0.015 -0.005 92.200 10.200 3.341 
0.017 0.029 -0.005 -0.015 0.002 0.022 -0.005 92.000 9.200 3.331 
-0.007 0.007 -0.005 0.010 -0.010 0.012 -0.007 91.600 8.200 3.321 
-0.000 0.015 -0.002 0.002 -0.007 0.015 -0.007 91.400 7.600 3.311 
0.002 0.007 -0.012 0.005 -0.000 0.007 -0.005 91.000 7.000 3.302 
-0.005 -0.000 -0.010 0.010 -0.005 0.002 -0.007 90.600 6.600 3.292 
-0.000 0.007 -0.005 0.002 -0.002 0.007 -0.000 90.000 6.400 3.282 
0.007 0.029 0.002 -0.007 -0.007 0.027 0.007 89.600 6.200 3.272 
0.007 0.032 0.007 -0.010 -0.007 0.029 0.007 89.200 6.200 3.263 
0.010 0.046 0.020 -0.020 -0.012 0.042 0.005 88.800 6.200 3.258 
0.007 0.054 0.022 -0.017 -0.020 0.051 0.022 88.400 6.200 3.253 
0.005 0.051 0.027 -0.017 -0.020 0.049 0.022 87.800 6.200 3.248 
-0.005 0.042 0.029 -0.010 -0.024 0.044 0.017 87.400 6.200 3.243 
-0.017 0.029 0.027 0.005 -0.032 0.039 0.012 87.000 6.400 3.238 
-0.010 0.032 0.027 -0.002 -0.024 0.037 0.010 86.600 6.600 3.233 
-0.015 0.022 0.020 0.005 -0.024 0.029 0.002 86.200 6.600 3.228 
0.005 0.042 0.020 -0.015 -0.015 0.039 0.005 85.800 7.000 3.223 
0.005 0.029 0.012 -0.010 -0.010 0.027 -0.017 85.400 7.200 3.209 
-0.000 0.029 0.017 -0.007 -0.015 0.029 -0.022 85.200 7.400 3.194 
-0.000 0.044 0.029 -0.015 -0.022 0.044 -0.029 84.800 7.800 3.179 
-0.005 0.046 0.034 -0.012 -0.027 0.049 -0.037 84.600 8.000 3.165 
0.017 0.054 0.020 -0.027 -0.010 0.046 -0.044 84.400 8.400 3.140 
0.007 0.039 0.020 -0.017 -0.012 0.037 -0.046 84.200 8.600 3.116 
0.010 0.034 0.005 -0.012 -0.007 0.029 -0.037 84.200 9.000 3.092 
0.015 0.037 0.007 -0.017 -0.002 0.029 -0.037 84.000 9.400 3.067 
-0.000 0.027 0.012 -0.005 -0.012 0.027 -0.034 83.600 9.600 3.043 
0.024 0.051 0.010 -0.029 -0.000 0.039 -0.044 83.400 10.000 3.018 
0.024 0.039 0.010 -0.029 0.005 0.027 -0.044 83.200 10.200 2.994 
0.032 0.042 -0.002 -0.029 0.012 0.027 -0.046 83.000 10.600 2.969 
0.039 0.037 -0.015 -0.032 0.022 0.017 -0.046 82.600 10.800 2.950 
0.034 0.032 -0.012 -0.027 0.020 0.015 -0.034 82.400 11.000 2.930 
0.042 0.051 0.002 -0.042 0.017 0.032 -0.032 82.000 11.000 2.911 
0.046 0.054 -0.002 -0.044 0.020 0.032 -0.024 81.600 11.200 2.891 
0.012 0.027 0.005 -0.015 -0.000 0.022 -0.017 81.000 11.200 2.882 
0.002 0.017 0.007 -0.005 -0.005 0.017 -0.005 80.400 11.200 2.872 
-0.022 -0.000 0.012 0.017 -0.022 0.012 0.005 80.000 11.000 2.862 
-0.005 0.007 0.002 0.005 -0.007 0.010 0.012 79.400 11.000 2.852 
-0.029 -0.017 0.010 0.024 -0.020 -0.002 0.012 78.800 11.000 2.852 
-0.010 -0.000 -0.002 0.012 -0.010 0.005 0.012 78.200 10.800 2.852 
-0.007 -0.000 -0.002 0.010 -0.007 0.005 0.020 77.600 10.800 2.852 
-0.005 -0.007 -0.010 0.010 -0.000 -0.005 0.017 77.000 10.600 2.852 
-0.024 -0.020 -0.005 0.027 -0.015 -0.007 0.010 76.600 10.600 2.862 
-0.017 -0.010 -0.000 0.017 -0.012 -0.000 0.012 76.000 10.600 2.872 
-0.015 -0.005 -0.000 0.015 -0.012 0.002 0.017 75.600 10.600 2.882 
-0.029 -0.022 -0.002 0.032 -0.017 -0.007 0.015 75.200 10.800 2.891 
-0.007 -0.012 -0.012 0.015 -0.000 -0.007 0.012 74.800 11.000 2.901 
-0.010 -0.007 -0.000 0.010 -0.005 -0.002 0.015 74.400 11.200 2.911 
-0.017 -0.015 -0.007 0.022 -0.010 -0.005 0.012 74.200 11.400 2.921 
-0.012 -0.007 -0.010 0.017 -0.007 -0.000 0.012 74.200 11.800 2.930 
-0.002 -0.012 -0.012 0.010 0.005 -0.010 0.012 74.200 12.400 2.930 
-0.020 -0.015 -0.000 0.020 -0.012 -0.005 0.012 74.200 12.800 2.930 
-0.015 -0.012 -0.005 0.017 -0.007 -0.005 0.012 74.200 13.400 2.930 
-0.022 -0.020 -0.010 0.027 -0.012 -0.007 0.015 74.400 14.000 2.930 
-0.012 -0.012 -0.005 0.015 -0.005 -0.005 0.010 74.400 14.400 2.926 
-0.017 -0.015 -0.010 0.022 -0.010 -0.005 0.012 74.400 15.000 2.921 
-0.017 -0.017 -0.010 0.022 -0.007 -0.007 0.012 74.400 15.600 2.916 
