I II III aVR aVL aVF V1 V2 AO SPO2
0.039 0.068 0.029 -0.054 0.005 0.049 -0.037 63.000 62.400 1.133 
0.068 0.088 0.029 -0.083 0.024 0.054 -0.054 63.000 62.400 1.114 
0.078 0.107 0.034 -0.095 0.024 0.068 -0.061 63.000 62.200 1.094 
0.081 0.154 0.071 -0.115 0.005 0.115 -0.081 62.800 62.000 1.055 
0.076 0.193 0.115 -0.132 -0.020 0.156 -0.090 62.800 61.800 1.016 
0.078 0.261 0.183 -0.168 -0.051 0.222 -0.115 62.800 61.800 0.977 
0.095 0.320 0.222 -0.205 -0.063 0.274 -0.139 62.600 61.600 0.938 
0.110 0.376 0.271 -0.244 -0.078 0.322 -0.164 62.600 61.400 0.923 
0.122 0.425 0.305 -0.274 -0.090 0.364 -0.183 62.400 61.400 0.908 
0.142 0.505 0.364 -0.322 -0.110 0.435 -0.217 62.400 61.200 0.894 
0.139 0.584 0.442 -0.359 -0.151 0.515 -0.242 62.200 61.200 0.879 
0.149 0.584 0.432 -0.364 -0.142 0.510 -0.247 62.000 61.200 0.860 
0.134 0.547 0.418 -0.342 -0.139 0.481 -0.227 62.000 61.200 0.840 
0.112 0.498 0.386 -0.305 -0.137 0.442 -0.205 61.800 61.000 0.821 
0.127 0.513 0.391 -0.322 -0.129 0.449 -0.212 61.600 61.000 0.801 
0.159 0.540 0.376 -0.347 -0.110 0.462 -0.234 61.600 61.000 0.786 
0.178 0.525 0.349 -0.352 -0.083 0.437 -0.234 61.400 60.800 0.772 
0.190 0.547 0.357 -0.369 -0.083 0.452 -0.249 61.200 60.800 0.757 
0.203 0.569 0.366 -0.386 -0.081 0.469 -0.256 61.000 60.600 0.742 
0.215 0.603 0.388 -0.408 -0.085 0.496 -0.276 61.000 60.600 0.723 
0.217 0.593 0.383 -0.408 -0.078 0.486 -0.271 61.000 60.600 0.703 
0.210 0.513 0.303 -0.361 -0.046 0.408 -0.244 60.800 60.600 0.684 
0.195 0.425 0.227 -0.308 -0.017 0.327 -0.208 60.800 60.400 0.664 
0.166 0.349 0.183 -0.256 -0.007 0.266 -0.173 60.800 60.400 0.645 
0.151 0.320 0.176 -0.239 -0.007 0.244 -0.156 60.800 60.200 0.625 
0.115 0.291 0.176 -0.203 -0.029 0.234 -0.137 60.600 60.200 0.606 
0.095 0.293 0.203 -0.195 -0.051 0.247 -0.129 60.600 60.000 0.586 
0.076 0.261 0.188 -0.168 -0.054 0.225 -0.115 60.600 60.000 0.567 
0.063 0.293 0.232 -0.178 -0.083 0.261 -0.120 60.400 59.800 0.547 
0.059 0.247 0.178 -0.147 -0.063 0.217 -0.105 60.400 59.800 0.527 
0.073 0.186 0.112 -0.129 -0.020 0.149 -0.085 60.400 59.600 0.508 
0.078 0.120 0.042 -0.098 0.020 0.081 -0.068 60.200 59.400 0.488 
0.083 0.071 -0.010 -0.078 0.049 0.029 -0.051 60.200 59.400 0.469 
0.076 0.012 -0.061 -0.044 0.071 -0.024 -0.032 60.200 59.200 0.449 
0.042 -0.000 -0.049 -0.017 0.042 -0.020 -0.015 60.000 59.200 0.430 
0.015 -0.017 -0.032 0.002 0.024 -0.024 -0.002 60.000 59.000 0.410 
-0.007 -0.051 -0.044 0.029 0.020 -0.046 0.020 60.000 59.000 0.391 
-0.032 -0.059 -0.027 0.046 -0.002 -0.042 0.027 60.000 58.800 0.371 
-0.037 -0.061 -0.027 0.051 -0.005 -0.042 0.032 59.800 58.800 0.352 
-0.044 -0.061 -0.024 0.056 -0.012 -0.039 0.032 59.800 58.800 0.337 
-0.046 -0.063 -0.020 0.056 -0.015 -0.039 0.037 59.600 58.600 0.322 
-0.051 -0.049 0.002 0.051 -0.027 -0.022 0.032 59.600 58.800 0.308 
-0.049 -0.073 -0.027 0.063 -0.012 -0.049 0.042 59.400 58.800 0.293 
-0.039 -0.076 -0.037 0.059 -0.000 -0.056 0.037 59.400 58.800 0.278 
-0.039 -0.046 -0.010 0.044 -0.015 -0.027 0.029 59.400 58.800 0.264 
-0.042 -0.034 0.002 0.042 -0.024 -0.012 0.022 59.600 59.000 0.249 
-0.037 -0.034 0.005 0.034 -0.020 -0.015 0.024 59.800 59.000 0.234 
-0.034 -0.063 -0.032 0.051 -0.002 -0.046 0.029 60.200 59.200 0.215 
-0.032 -0.061 -0.034 0.049 -0.000 -0.044 0.032 60.800 59.400 0.195 
-0.037 -0.085 -0.051 0.063 0.007 -0.066 0.039 61.400 59.800 0.176 
-0.032 -0.066 -0.042 0.054 0.002 -0.049 0.032 62.200 60.400 0.156 
-0.029 -0.024 -0.000 0.029 -0.017 -0.010 0.015 63.200 60.800 0.132 
-0.027 -0.024 -0.002 0.029 -0.015 -0.010 0.017 64.200 61.400 0.107 
